time (s),arc1,arc2,arc3,arc4,arc5,arc6,ramp
"1,602.7",1,1,0,0,0,0,0.5
"1,605.3",1,1,1,0,0,0,0.5
"1,608.0",1,1,1,1,0,0,0.5
"1,610.7",1,1,1,1,1,0,0.5
"1,613.3",1,1,1,1,1,1,0.5
"1,616.0",0,1,1,1,1,1,0.5
"1,618.7",0,0,1,1,1,1,0.5
"1,621.3",0,0,0,1,1,1,0.5
"1,624.0",0,0,0,0,1,1,0.5
"1,626.7",0,0,0,0,0,1,0.5
"1,629.3",1,0,1,0,0,1,0.5
"1,632.0",0,1,0,1,0,1,0.5
"1,634.7",0,0,1,0,1,1,0.5
"1,637.3",1,0,0,1,0,1,0.5
"1,640.0",0,1,0,0,1,1,0.5
"1,642.7",0,0,1,1,0,1,0.5
"1,645.3",1,0,0,0,1,1,0.5
"1,648.0",0,1,1,0,0,1,0.5
"1,650.7",0,0,0,1,1,1,0.5
"1,653.3",1,1,0,0,0,1,0.5
"1,656.0",0,0,0,1,1,0,0.5
"1,658.7",0,1,1,0,0,0,0.5
"1,661.3",1,0,0,0,1,0,0.5
"1,664.0",0,0,1,1,0,0,0.5
"1,666.7",0,1,0,0,1,0,0.5
"1,669.3",1,0,0,1,0,0,0.5
"1,672.0",0,0,1,0,1,0,0.5
"1,674.7",0,1,0,1,0,0,0.5
"1,677.3",1,0,1,0,0,0,0.5
"1,680.0",1,0,0,0,0,0,0.5
"1,682.7",1,1,0,0,0,0,0.5
"1,685.3",1,1,1,0,0,0,0.5
"1,688.0",1,1,1,1,0,0,0.5
"1,690.7",1,1,1,1,1,0,0.5
"1,693.3",1,1,1,1,1,1,0.5
"1,696.0",0,1,1,1,1,1,0.5
"1,698.7",0,0,1,1,1,1,0.5
"1,701.3",0,0,0,1,1,1,0.5
"1,704.0",0,0,0,0,1,1,0.5
"1,706.7",0,0,0,0,0,1,0.5
"1,709.3",1,0,1,0,0,1,0.5
"1,712.0",0,1,0,1,0,1,0.5
"1,714.7",0,0,1,0,1,1,0.5
"1,717.3",1,0,0,1,0,1,0.5
"1,720.0",0,1,0,0,1,1,0.5
"1,722.7",0,0,1,1,0,1,0.5
"1,725.3",1,0,0,0,1,1,0.5
"1,728.0",0,1,1,0,0,1,0.5
"1,730.7",0,0,0,1,1,1,0.5
"1,733.3",1,1,0,0,0,1,0.5
"1,736.0",0,0,0,1,1,0,0.5
